trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9999995000000417}",20,0,-102.3142931153473,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9999980000006666}",30,0,-151.59791914444725,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.999995500003375}",25,0,-129.5092241494365,"{0: 16, 1: 1, 2: 4, 3: 3, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9999920000106667}",25,0,-118.83297385086462,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9999875000260416}",25,0,-131.5267845928214,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.999982000054}",20,10,-25.797780730550684,"{0: 5, 1: 3, 2: 2, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.9999755001000415}",25,0,-153.06231934468013,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9999680001706663}",35,0,-203.0114397670921,"{0: 20, 1: 4, 2: 6, 3: 3, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9999595002733742}",25,0,-114.54136296445355,"{0: 13, 1: 4, 2: 5, 3: 3, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9999500004166653}",30,0,-208.34308311298008,"{0: 15, 1: 5, 2: 6, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.9999395006100392}",25,0,-102.26170161237994,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9999280008639958}",20,0,-144.36394740361703,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9999155011900349}",20,0,-71.06469555210049,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9999020016006562}",30,0,-95.5868725361087,"{0: 22, 1: 0, 2: 6, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.9998875021093592}",20,0,-132.56790178688192,"{0: 11, 1: 1, 2: 4, 3: 3, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9998720027306434}",20,0,-153.7979164130194,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.9998555034800082}",20,0,-65.90561157072948,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9998380043739528}",25,0,-73.93940821395185,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9998195054299763}",20,0,-59.23613213810196,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.9998000066665778}",20,0,-93.51372254984051,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.9997795081032559}",20,2,-98.61707472259216,"{0: 9, 1: 1, 2: 7, 3: 0, 4: 1}",1
22,False,"{'a': 0.5, 'e': 0.9997580097605092}",20,0,-81.3383757195308,"{0: 9, 1: 5, 2: 5, 3: 1, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.9997355116598361}",30,4,-211.92375080363598,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 5}",1
24,False,"{'a': 0.5, 'e': 0.9997120138237345}",25,0,-87.43746944649894,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.9996875162757026}",25,0,-41.88547189501411,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.9996620190402377}",25,0,-122.31881130569056,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.9996355221428369}",20,0,-93.09627263729645,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.9996080256099974}",20,0,-35.93877511894063,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.9995795294692156}",20,0,-61.38288986002175,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.9995500337489875}",20,0,-106.11406513021551,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.999519538478809}",20,0,-128.12563137657062,"{0: 8, 1: 5, 2: 5, 3: 1, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.9994880436891754}",20,0,-46.37429690291043,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.9994555494115813}",20,0,-107.82682744528626,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.9994220556785212}",30,13,-34.27083331680075,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.9993875625234886}",25,0,-128.29616405702762,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
36,False,"{'a': 0.5, 'e': 0.9993520699809768}",30,0,-145.6724878965888,"{0: 15, 1: 1, 2: 12, 3: 2, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.9993155780864782}",20,0,-116.39648720992489,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.9992780868764849}",25,0,-197.4240412328495,"{0: 16, 1: 1, 2: 3, 3: 1, 4: 4}",0
39,False,"{'a': 0.5, 'e': 0.999239596388488}",20,0,-161.0290597260468,"{0: 9, 1: 0, 2: 7, 3: 3, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.9992001066609779}",20,0,-180.79878274912983,"{0: 9, 1: 1, 2: 6, 3: 2, 4: 2}",0
41,False,"{'a': 0.5, 'e': 0.9991596177334445}",20,0,-159.32562290519297,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
42,False,"{'a': 0.5, 'e': 0.9991181296463766}",30,0,-105.42202799376008,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.9990756424412622}",20,0,-148.6956432671764,"{0: 9, 1: 1, 2: 6, 3: 3, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.9990321561605888}",30,0,-83.40496830811091,"{0: 19, 1: 4, 2: 5, 3: 2, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.9989876708478425}",20,0,-61.10899388717147,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.9989421865475084}",20,0,-75.53497353128205,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.9988957033050712}",30,0,-145.12618408846674,"{0: 17, 1: 4, 2: 6, 3: 2, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.9988482211670138}",25,0,-136.48906178171993,"{0: 17, 1: 0, 2: 4, 3: 2, 4: 2}",0
49,False,"{'a': 0.5, 'e': 0.9987997401808185}",30,0,-158.02492527321292,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
50,False,"{'a': 0.5, 'e': 0.9987502603949663}",30,0,-130.1949425662296,"{0: 19, 1: 5, 2: 3, 3: 1, 4: 2}",0
51,False,"{'a': 0.5, 'e': 0.9986997818589368}",20,0,-84.41142240254283,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.9986483046232089}",30,0,-119.83710954601474,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",0
53,False,"{'a': 0.5, 'e': 0.9985958287392593}",30,9,-101.32709979241534,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 1}",1
54,False,"{'a': 0.5, 'e': 0.9985423542595644}",25,0,-74.25921700871321,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.9984878812375985}",20,1,-176.50794252010212,"{0: 9, 1: 2, 2: 4, 3: 1, 4: 3}",1
56,False,"{'a': 0.5, 'e': 0.9984324097278344}",25,0,-134.5600723927006,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 3}",0
57,False,"{'a': 0.5, 'e': 0.9983759397857438}",35,0,-114.3482675867171,"{0: 22, 1: 3, 2: 8, 3: 2, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.9983184714677966}",35,0,-93.33511794017875,"{0: 22, 1: 5, 2: 8, 3: 0, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.9982600048314613}",30,0,-108.55793614100976,"{0: 18, 1: 3, 2: 8, 3: 0, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.9982005399352042}",20,0,-111.71550541592242,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
61,False,"{'a': 0.5, 'e': 0.9981400768384904}",25,0,-191.76118408376922,"{0: 13, 1: 1, 2: 8, 3: 0, 4: 3}",0
62,False,"{'a': 0.5, 'e': 0.9980786156017829}",35,0,-168.12484296112757,"{0: 24, 1: 3, 2: 4, 3: 1, 4: 3}",0
63,False,"{'a': 0.5, 'e': 0.9980161562865429}",20,0,-32.67523217318962,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.99795269895523}",30,0,-160.14134031537392,"{0: 15, 1: 4, 2: 8, 3: 2, 4: 1}",0
65,False,"{'a': 0.5, 'e': 0.9978882436713011}",20,0,-93.5469032339383,"{0: 11, 1: 2, 2: 4, 3: 3, 4: 0}",0
66,False,"{'a': 0.5, 'e': 0.9978227904992117}",35,0,-111.73005649692621,"{0: 21, 1: 5, 2: 7, 3: 2, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.9977563395044151}",35,6,-79.4947447675648,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 1}",1
68,False,"{'a': 0.5, 'e': 0.9976888907533621}",25,0,-103.1352280144651,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
69,False,"{'a': 0.5, 'e': 0.9976204443135014}",20,0,-45.21789162078158,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
70,False,"{'a': 0.5, 'e': 0.9975510002532796}",25,0,-113.47356731713802,"{0: 15, 1: 4, 2: 3, 3: 2, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.9974805586421406}",20,0,-51.77125540595479,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
72,False,"{'a': 0.5, 'e': 0.9974091195505261}",25,0,-96.46079525057722,"{0: 14, 1: 4, 2: 5, 3: 2, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.9973366830498752}",30,0,-110.28708112280202,"{0: 18, 1: 6, 2: 4, 3: 1, 4: 1}",0
74,False,"{'a': 0.5, 'e': 0.9972632492126244}",20,0,-80.216317037889,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
75,False,"{'a': 0.5, 'e': 0.9971888181122075}",20,0,-146.3054606684272,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
76,False,"{'a': 0.5, 'e': 0.9971133898230555}",20,0,-132.69007252234925,"{0: 10, 1: 3, 2: 3, 3: 3, 4: 1}",0
77,False,"{'a': 0.5, 'e': 0.9970369644205967}",20,0,-88.19364532453724,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
78,False,"{'a': 0.5, 'e': 0.9969595419812568}",20,0,-100.13946553196828,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
79,False,"{'a': 0.5, 'e': 0.9968811225824579}",25,0,-125.58995404600611,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
80,False,"{'a': 0.5, 'e': 0.9968017063026194}",25,5,-65.2236167410273,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",1
81,False,"{'a': 0.5, 'e': 0.9967212932211577}",25,0,-140.75066584932452,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
82,False,"{'a': 0.5, 'e': 0.9966398834184859}",30,0,-120.78194743970498,"{0: 19, 1: 1, 2: 9, 3: 0, 4: 1}",0
83,False,"{'a': 0.5, 'e': 0.9965574769760137}",20,0,-175.53123816675512,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
84,False,"{'a': 0.5, 'e': 0.9964740739761475}",20,0,-53.44580114988256,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
85,False,"{'a': 0.5, 'e': 0.9963896745022904}",25,0,-118.55916519562365,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
86,False,"{'a': 0.5, 'e': 0.996304278638842}",25,0,-225.79160280945405,"{0: 10, 1: 5, 2: 5, 3: 2, 4: 3}",0
87,False,"{'a': 0.5, 'e': 0.9962178864711978}",20,0,-127.43608867421045,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
88,False,"{'a': 0.5, 'e': 0.9961304980857502}",20,0,-152.39525008320007,"{0: 13, 1: 2, 2: 0, 3: 2, 4: 3}",0
89,False,"{'a': 0.5, 'e': 0.9960421135698875}",25,0,-103.03995429959257,"{0: 18, 1: 0, 2: 3, 3: 3, 4: 1}",0
90,False,"{'a': 0.5, 'e': 0.9959527330119943}",20,0,-138.04784270955776,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 3}",0
91,False,"{'a': 0.5, 'e': 0.9958623565014509}",35,0,-136.9160651308187,"{0: 21, 1: 4, 2: 8, 3: 1, 4: 1}",0
92,False,"{'a': 0.5, 'e': 0.9957709841286342}",25,0,-98.65209013648716,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
93,False,"{'a': 0.5, 'e': 0.9956786159849162}",20,0,-64.82522006113672,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
94,False,"{'a': 0.5, 'e': 0.9955852521626654}",25,0,-153.46885593005774,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 2}",0
95,False,"{'a': 0.5, 'e': 0.9954908927552453}",25,0,-118.7134907852053,"{0: 14, 1: 1, 2: 9, 3: 0, 4: 1}",0
96,False,"{'a': 0.5, 'e': 0.9953955378570153}",20,7,-54.6580710637156,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 1}",1
97,False,"{'a': 0.5, 'e': 0.9952991875633305}",25,0,-58.009009904981724,"{0: 19, 1: 0, 2: 4, 3: 2, 4: 0}",0
98,False,"{'a': 0.5, 'e': 0.995201841970541}",20,0,-33.0273821436959,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
99,False,"{'a': 0.5, 'e': 0.9951035011759926}",20,0,-97.63309231599737,"{0: 11, 1: 2, 2: 4, 3: 3, 4: 0}",0
100,False,"{'a': 0.5, 'e': 0.9950041652780258}",25,0,-88.12803554195249,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
