trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
130,False,"{'a': 0.5, 'e': 0.270754259511994}",20,15,11.21457691240698,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.26804671691687404}",25,8,4.01127170164193,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.2653662497477053}",20,8,19.854509388023253,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.2627125872502282}",25,10,19.57385536617113,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.2600854613777259}",25,3,-73.50685206152887,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 2}",1
135,False,"{'a': 0.5, 'e': 0.2574846067639487}",25,13,9.768066269517174,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.2549097606963092}",20,1,29.82652522531579,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.2523606630893461}",20,8,-4.055754420582054,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.24983705645845267}",25,11,2.725570843593733,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.24733868589386815}",25,15,-35.678648570452324,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
140,False,"{'a': 0.5, 'e': 0.24486529903492946}",20,16,6.595987093652994,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.24241664604458016}",20,0,-84.38149874144719,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
142,False,"{'a': 0.5, 'e': 0.23999247958413436}",25,18,14.076141110941439,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.23759255478829303}",20,14,10.562866344142035,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.2352166292404101}",25,0,-36.3381838934121,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
145,False,"{'a': 0.5, 'e': 0.232864462948006}",30,4,41.18710043707539,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.23053581831852593}",25,0,11.431708067696265,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
147,False,"{'a': 0.5, 'e': 0.22823046013534068}",20,10,-28.357042604157016,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
148,False,"{'a': 0.5, 'e': 0.22594815553398728}",25,8,29.424609248757438,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.22368867397864742}",20,3,-15.27586079323775,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.22145178723886094}",20,0,-45.57676746582672,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
151,False,"{'a': 0.5, 'e': 0.21923726936647234}",30,18,24.115309180628863,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.2170448966728076}",25,11,26.069473309552738,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.21487444770607952}",25,14,7.5178119290495085,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.21272570322901874}",20,6,-44.478533209103986,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
155,False,"{'a': 0.5, 'e': 0.21059844619672854}",30,21,16.516984038140528,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.20849246173476127}",20,10,8.524616793662707,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.20640753711741366}",30,22,-30.61207770590495,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
158,False,"{'a': 0.5, 'e': 0.20434346174623952}",25,7,-34.49253938028869,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 1}",1
159,False,"{'a': 0.5, 'e': 0.20230002712877712}",30,18,24.64953344389825,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.20027702685748935}",30,23,12.305358732462933,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.19827425658891445}",20,12,14.500836156117073,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.1962915140230253}",20,0,-26.819415451781012,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
163,False,"{'a': 0.5, 'e': 0.19432859888279505}",30,16,2.8100448853567803,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.1923853128939671}",20,8,7.572552395016415,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.19046145976502743}",20,3,-9.59410060285764,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
166,False,"{'a': 0.5, 'e': 0.18855684516737714}",30,19,23.106969208897603,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.18667127671570335}",25,0,-2.5932960726757903,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
168,False,"{'a': 0.5, 'e': 0.18480456394854633}",20,9,21.143740146315036,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.18295651830906087}",30,14,-17.219176867199465,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
170,False,"{'a': 0.5, 'e': 0.18112695312597027}",20,14,10.558783341500341,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.17931568359471056}",20,13,3.8270923788121003,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.17752252675876345}",35,12,-4.438533598830911,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 1}",1
173,False,"{'a': 0.5, 'e': 0.17574730149117582}",30,19,4.817884374274134,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.17398982847626407}",25,15,19.868877124245444,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
